epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
10,0.9881796836853027,0.999997615814209,0.06475500762462616,1e-05,0.940119743347168,1.0,1.0,1.0,0.04523320123553276,1.0,1.0
11,0.991725742816925,0.9999861121177673,0.0641569048166275,1e-05,0.957317054271698,1.0,1.0,1.0,0.04622647538781166,1.0,1.0
12,0.991725742816925,1.0,0.060646381229162216,1e-05,0.957317054271698,1.0,1.0,1.0,0.04422334209084511,1.0,1.0
13,0.9899527430534363,0.9999929666519165,0.0614757165312767,1e-05,0.9486404657363892,1.0,1.0,0.9999999403953552,0.044510554522275925,1.0,1.0
14,0.9940898418426514,1.0,0.05865127220749855,1e-05,0.9691358208656311,1.0,1.0,1.0,0.04425157606601715,1.0,1.0
15,0.991134762763977,0.9999977350234985,0.05983913689851761,1e-05,0.954407274723053,1.0,1.0,1.0,0.04615994542837143,1.0,1.0
